source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.03,ОПК,ОПК-1,"способностью руководить коллективом в сфере своей профессиональной деятельности, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия",1,ОПК-1,Основы информатики
ФГОС,09.04.03,ОПК,ОПК-2,способностью исследовать современные проблемы и методы прикладной информатики и научно-технического развития ИКТ,1,ОПК-2,Основы информатики
ФГОС,09.04.03,ОПК,ОПК-3,способностью исследовать закономерности становления и развития информационного общества в конкретной прикладной области,1,ОПК-3,Основы информатики
ФГОС,09.04.03,ОПК,ОПК-4,способностью на практике применять новые научные принципы и методы исследований,1,ОПК-4,Основы информатики
ФГОС,09.04.03,ОПК,ОПК-5,способностью к профессиональной эксплуатации современного электронного оборудования в соответствии с целями основной образовательной программы магистратуры,1,ОПК-5,Основы информатики
ФГОС,09.04.03,ПК,ПК-1,"способностью формализовывать задачи прикладной области, при решении которых возникает необходимость использования количественных и качественных оценок",1,ПК-1,Программирование
ФГОС,09.04.03,ПК,ПК-2,способностью ставить и решать прикладные задачи в условиях неопределенности и определять методы и средства их эффективного решения,1,ПК-2,Программирование
ФГОС,09.04.03,ПК,ПК-3,"способностью проводить научные эксперименты, оценивать результаты исследований",1,ПК-3,Проектирование / архитектура ПО
ФГОС,09.04.03,ПК,ПК-4,способностью исследовать применение различных научных подходов к автоматизации информационных процессов и информатизации предприятий и организаций,1,ПК-4,Управление ИТ-проектами
ФГОС,09.04.03,ПК,ПК-5,"способностью проводить анализ экономической эффективности ИС, оценивать проектные затраты и риски",1,ПК-5,Управление ИТ-проектами
ФГОС,09.04.03,ПК,ПК-6,способностью выбирать методологию и технологию проектирования ИС с учетом проектных рисков,1,ПК-6,Техническая документация
ФГОС,09.04.03,ПК,ПК-7,способностью анализировать данные и оценивать требуемые знания для решения нестандартных задач с использованием математических методов и методов компьютерного моделирования,1,ПК-7,Анализ данных
ФГОС,09.04.03,ПК,ПК-8,способностью анализировать и оптимизировать прикладные и информационные процессы,1,ПК-8,Математика и моделирование
ФГОС,09.04.03,ПК,ПК-9,способностью проводить маркетинговый анализ ИКТ и вычислительного оборудования для рационального выбора инструментария автоматизации и информатизации прикладных задач,1,ПК-9,Математика и моделирование
ФГОС,09.04.03,ПК,ПК-10,способностью применять современные методы и инструментальные средства прикладной информатики для автоматизации и информатизации решения прикладных задач различных классов и создания ИС,1,ПК-10,Математика и моделирование
ФГОС,09.04.03,ПК,ПК-11,способностью проектировать архитектуру и сервисы ИС предприятий и организаций в прикладной области,1,ПК-11,Проектирование / архитектура ПО
ФГОС,09.04.03,ПК,ПК-12,"способностью проектировать информационные процессы и системы с использованием инновационных инструментальных средств, адаптировать современные ИКТ к задачам прикладных ИС",1,ПК-12,Проектирование / архитектура ПО
ФГОС,09.04.03,ПК,ПК-13,способностью принимать эффективные проектные решения в условиях неопределенности и риска,1,ПК-13,Проектирование / архитектура ПО
ФГОС,09.04.03,ПК,ПК-14,способностью формировать стратегию информатизации прикладных процессов и создания прикладных ИС в соответствии со стратегией развития предприятий,1,ПК-14,Программирование
ФГОС,09.04.03,ПК,ПК-15,способностью организовывать работы по моделированию прикладных ИС и реинжинирингу прикладных и информационных процессов предприятия и организации,1,ПК-15,Программирование
ФГОС,09.04.03,ПК,ПК-16,способностью управлять информационными ресурсами и ИС,1,ПК-16,Администрирование / DevOps
ФГОС,09.04.03,ПК,ПК-17,способностью управлять проектами по информатизации прикладных задач и созданию ИС предприятий и организаций,1,ПК-17,Администрирование / DevOps
ФГОС,09.04.03,ПК,ПК-18,способностью организовывать и проводить переговоры с представителями заказчика и профессиональные консультации на предприятиях и в организациях,1,ПК-18,Программирование
ФГОС,09.04.03,ПК,ПК-19,"способностью в условиях функционирования ИС брать на себя ответственность за выполнение производственных задач ИТ-служб, эффективно использовать современные приемы и методы работы с ИТ-персоналом",1,ПК-19,Информационная безопасность
ФГОС,09.04.03,ПК,ПК-20,"способностью использовать передовые методы оценки качества, надежности и информационной безопасности ИС в процессе эксплуатации прикладных ИС",1,ПК-20,Информационная безопасность
ФГОС,09.04.03,ПК,ПК-21,способностью использовать международные информационные ресурсы и стандарты в информатизации предприятий и организаций,1,ПК-21,Сети и ИКТ
ФГОС,09.04.03,ПК,ПК-22,способностью использовать информационные сервисы для автоматизации прикладных и информационных процессов,1,ПК-22,Сети и ИКТ
ФГОС,09.04.03,ПК,ПК-23,способностью интегрировать компоненты и сервисы ИС,1,ПК-23,Сети и ИКТ
ФГОС,09.04.02,ОПК,ОПК-2,способностью анализировать и оценивать уровни своих компетенций в сочетании со способностью и готовностью к саморегулированию дальнейшего образования и профессиональной мобильности,1,ОПК-2,Основы информатики
